Name,overall,Action,Adventure,Sci-Fi,Drama,Comedy,Romance,Musical,War,Horror,History,Mystery,Thriller,Crime,Sport,Biography,Fantasy,Family,Documentary,Music,Animation,News,Western,average,Votes
6-5=2,4.2,0,0,0,0,0,0,0,0,4.2,0,0,0,0,0,0,0,0,0,0,0,0,0,4.2,171
68 Pages,6.2,0,0,0,6.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.2,31
7 1/2 Phere: More Than a Wedding,5.3,0,0,0,5.3,5.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.3,281
7 Bijliyaan,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7
7 Hours to Go,5.7,0,0,0,0,0,0,0,0,0,0,0,5.7,5.7,0,0,0,0,0,0,0,0,0,5.7,398
7 Islands and a Metro,6.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.2,0,0,0,0,6.2,10
7 Khoon Maaf,6.1,0,0,0,6.1,0,0,0,0,0,0,6.1,6.1,0,0,0,0,0,0,0,0,0,0,6.1,5640
7 Saal Baad,4.1,0,0,0,4.1,0,0,4.1,0,4.1,0,0,0,0,0,0,0,0,0,0,0,0,0,4.1,34
706,5.3,0,0,0,0,0,0,0,0,0,0,0,5.3,0,0,0,0,0,0,0,0,0,0,5.3,449
72 Hours: Martyr Who Never Died,5.3,5.3,0,0,5.3,0,0,0,0,0,0,0,0,0,0,5.3,0,0,0,0,0,0,0,5.3,249
8 x 10 Tasveer,5.4,5.4,0,0,0,0,0,0,0,0,0,5.4,0,0,0,0,5.4,0,0,0,0,0,0,5.4,5459
8119 Miles,6.6,0,6.6,0,6.6,0,0,0,0,0,0,6.6,0,0,0,0,0,0,0,0,0,0,0,6.6,21
88 Antop Hill,4.7,0,0,0,0,0,0,0,0,0,0,4.7,4.7,0,0,0,0,0,0,0,0,0,0,4.7,66
9 O' Clock,5.3,5.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.3,9
99,7.3,0,0,0,7.3,7.3,0,0,0,0,0,0,0,7.3,0,0,0,0,0,0,0,0,0,7.3,2767
99 Songs,7.4,0,0,0,0,0,7.4,7.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.4,1901
99.9 FM,4.8,0,0,0,4.8,0,0,0,0,0,0,0,0,4.8,0,0,0,0,0,0,0,0,0,4.8,38
A Billion Colour Story,8.1,0,0,0,8.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.1,412
A Daughter's Tale PANKH,6.3,0,0,0,6.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.3,10
A Death in the Gunj,7.5,0,0,0,7.5,0,0,0,0,0,0,0,7.5,0,0,0,0,0,0,0,0,0,0,7.5,4637
A Film by Aravind,6.8,0,0,0,0,0,0,0,0,6.8,0,6.8,0,0,0,0,0,0,0,0,0,0,0,6.8,179
A Flat,4.5,0,0,0,4.5,0,4.5,0,0,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5,202
A Flying Jatt,3,3,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4145
A Game Called Relationship,6.3,0,0,0,0,6.3,6.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.3,181
A Gentleman,6.2,6.2,0,0,0,6.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.2,5227
A Gift of Love: Sifar,8,0,0,0,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,33
A Journey of Samyak Buddha,7.3,0,0,0,7.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.3,17
A New Love Ishtory,6,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,80
A Scandall,3.1,0,0,0,0,0,0,0,0,0,0,0,3.1,0,0,0,0,0,0,0,0,0,0,3.1,142
A Sublime Love Story: Barsaat,3.8,0,0,0,3.8,0,3.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.8,627
A Thin Line,7.9,0,0,0,7.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.9,24
A Wednesday,8.1,8.1,0,0,8.1,0,0,0,0,0,0,0,0,8.1,0,0,0,0,0,0,0,0,0,8.1,75118
Aa Ab Laut Chalen,5.5,0,0,0,5.5,0,5.5,5.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.5,1621
AA BB KK,8,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,249
Aa Dekhen Zara,5,5,0,5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5,866
Aa Gale Lag Jaa,7.2,7.2,0,0,7.2,0,7.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.2,348
Aa Gale Lag Jaa,4.4,0,0,0,0,0,4.4,0,0,0,0,4.4,0,0,0,0,0,0,0,0,0,0,0,4.4,115
Aa Gaya Hero,2.7,2.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.7,339
Aa Jao Please,6.8,0,0,0,6.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.8,16
Aabra Ka Daabra,2.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4,0,0,0,0,0,0,2.4,264
Aabroo,5.5,0,0,0,5.5,5.5,0,0,0,0,0,0,0,5.5,0,0,0,0,0,0,0,0,0,5.5,21
Aadamkhor,7.4,0,0,0,0,0,0,0,0,7.4,0,0,0,0,0,0,0,0,0,0,0,0,0,7.4,150
Aadat Se Majboor,5.5,5.5,0,0,5.5,0,0,0,0,0,0,0,0,5.5,0,0,0,0,0,0,0,0,0,5.5,28
Aadha Din Aadhee Raat,5.1,5.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.1,18
Aadhaar,7.6,0,0,0,7.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.6,69
Aadharshila,6.4,0,0,0,6.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.4,19
Aadhi Bhagavan,5.4,5.4,0,0,0,0,0,0,0,0,0,0,5.4,5.4,0,0,0,0,0,0,0,0,0,5.4,568
