Name,Year,Duration,Genre,Rating,Director,Actor1,Actor2,Actor3
706,2019,120,Thriller,5.3,Shravankumar Tiwari,Mohan Agashe,Raayo S. Bakhirta,Divya Dutta
72 Hours: Martyr Who Never Died,2019,130,"Action, Biography, Drama",5.3,Avinash Dhyani,Avinash Dhyani,Yeshi Dema,Alka Amin
8 x 10 Tasveer,2009,122,"Action, Fantasy, Mystery",5.4,Nagesh Kukunoor,Akshay Kumar,Ayesha Takia,Javed Jaffrey
8119 Miles,2021,115,"Adventure, Drama, Mystery",6.6,Joe Eshwar,Ranji Vijayan,Kuriakose Oonnittan,Guy Bleyaert
88 Antop Hill,2003,119,"Mystery, Thriller",4.7,Kushan Nandy,Atul Kulkarni,Rahul Dev,Suchitra Pillai
9 O' Clock,2017,124,Action,5.3,Amrit Raj Thakur,Arun Bakshi,Ajeet Goswami,Rohit Rajawat
99,2009,135,"Comedy, Crime, Drama",7.3,Krishna D.K.,Raj Nidimoru,Kunal Khemu,Boman Irani
99 Songs,2019,128,"Musical, Romance",7.4,Vishwesh Krishnamoorthy,Ehan Bhat,Edilsy Vargas,Tenzing Dalha
99.9 FM,2005,90,"Crime, Drama",4.8,Sanjay Bhatia,Shawar Ali,Rajkumar Kanojia,Jai Nagra
A Billion Colour Story,2016,105,Drama,8.1,Padmakumar Narasimhamurthy,Dhruva Padmakumar,Gaurav Sharma,Vasuki
A Daughter's Tale PANKH,2017,145,Drama,6.3,Premraaj,Rajinder Verma,Sunil Lahri,Nishigandha Wad
A Death in the Gunj,2016,110,"Drama, Thriller",7.5,Konkona Sen Sharma,Kalki Koechlin,Vikrant Massey,Gulshan Devaiah
A Film by Aravind,2005,150,"Horror, Mystery",6.8,Sekhar Suri,Sherlyn Chopra,Rajeev Kanakala,Richard Rishi
A Flat,2010,103,"Drama, Horror, Romance",4.5,Hemant Madhukar,Jimmy Sheirgill,Sanjay Suri,Hazel Croney
A Flying Jatt,2016,151,"Action, Adventure, Comedy",3,Remo D'Souza,Tiger Shroff,Jacqueline Fernandez,Nathan Jones
A Game Called Relationship,2020,109,"Comedy, Romance",6.3,Vivek Sharma,Mandy Takhar,Vivek Sharma,Sumit Suri
A Gentleman,2017,145,"Action, Comedy",6.2,Krishna D.K.,Raj Nidimoru,Sidharth Malhotra,Jacqueline Fernandez
A Gift of Love: Sifar,2019,95,"Drama, Romance",8,Dhruv Sachdev,Sanjay Deyali,Sudha Chandran,Anang Desai
A Journey of Samyak Buddha,2013,127,Drama,7.3,Praveen Damle,Geeta Agrawal,Jyoti Bagat,Gautam Dhengare
A New Love Ishtory,2013,140,Romance,6,John Mathew Matthan,Raqesh Bapat,Gurpreet Kaur Chadha,Smita Jaykar
A Scandall,2016,112,Thriller,3.1,Ishaan Trivedi,Johnny Baweja,Reeth Mazumder-Roberts,Manav Kaul
A Sublime Love Story: Barsaat,2005,143,"Drama, Romance",3.8,Suneel Darshan,Bobby Deol,Bipasha Basu,Priyanka Chopra Jonas
A Thin Line,2019,104,Drama,7.9,Vierendrra Lalit,Trivikram Mattoo,Rahul Roy,Akansha Shivhare
A Wednesday,2008,104,"Action, Crime, Drama",8.1,Neeraj Pandey,Anupam Kher,Naseeruddin Shah,Jimmy Sheirgill
Aa Ab Laut Chalen,1999,177,"Musical, Romance, Drama",5.5,Rishi Kapoor,Rajesh Khanna,Akshaye Khanna,Aishwarya Rai Bachchan
AA BB KK,2018,121,Drama,8,Ramkumar Shedge,Shravani Abhang,Sajid Ali,Tamannaah Bhatia
Aa Dekhen Zara,2009,117,"Action, Sci-Fi, Thriller",5,Jehangir Surti,Neil Nitin Mukesh,Bipasha Basu,Sophiya Chaudhary
