Name,Year,Duration,Genre,Rating,Director,Actor1,Actor2,Actor3
Kasam Paida Karne Wale Ki,1984,145,"Action, Drama",5.7,Babbar Subhash,Mithun Chakraborty,Smita Patil,Salma Agha
Kasam Teri Kasam,1993,156,"Drama, Romance",4.3,Raman Kumar,Krishan Kumar,Kanchan,Kunickaa Sadanand
Kasauti,1974,131,"Drama, Romance",5.9,Aravind Sen,Hema Malini,Amitabh Bachchan,Pran
Kasba,1991,121,Drama,7,Kumar Shahani,Navjot Hansra,K.K. Raina,Manohar Singh
Kashmakash,1973,134,"Action, Family, Mystery",5.4,Feroz Chinoy,Feroz Khan,Rekha,Shatrughan Sinha
Kashmir Daily,2018,148,"Drama, Thriller",6.7,Hussein Khan,Zameer Ashai,Shahid Gulfam,Hussein Khan
Kashmir Ki Kali,1964,168,"Comedy, Musical, Romance",7.1,Shakti Samanta,Shammi Kapoor,Sharmila Tagore,Pran
Kasoor,2001,151,"Drama, Mystery, Thriller",6,Vikram Bhatt,Divya Dutta,Sucheta Paushe,Lisa Ray
Kath Putli,1957,152,"Drama, Family",6.9,Nitin Bose,Amiya Chakrabarty,Vyjayanthimala,Balraj Sahni
Katha,1983,141,"Comedy, Drama",7.8,Sai Paranjape,Naseeruddin Shah,Farooq Shaikh,Deepti Naval
Kathor,2018,110,Drama,5.6,Karan Kashyap,Lalit Parimoo,Sheetal Dimri,Abhisek Pandey
Kathputli,1971,148,"Drama, Romance",6.9,Brij,Jeetendra,Mumtaz,Helen
Kati Patang,1970,167,"Drama, Family, Musical",7.2,Shakti Samanta,Rajesh Khanna,Asha Parekh,Prem Chopra
Katilon Ke Kaatil,1981,199,"Action, Comedy, Drama",6.4,Anil Hingorani,Arjun Hingorani,Dharmendra,Rishi Kapoor
Katiyabaaz,2013,84,"Documentary, Drama",7.8,Deepti Kakkar,Fahad Mustafa,Ritu Maheshwari,Loha Singh
Katputtli,2006,119,Thriller,5.6,Sanjay Khanna,Milind Soman,Mink Singh,Sameer Dharmadhikari
Katti Batti,2015,135,"Comedy, Drama, Romance",4.9,Nikkhil Advani,Imran Khan,Kangana Ranaut,Suhaas Ahuja
Kaun Hai Jo Sapno Mein Aaya,2004,127,Musical,5.1,Rajesh Bhatt,Richa Pallod,Anupam Kher,Kader Khan
Kaun Jeeta Kaun Haara,1987,119,"Comedy, Drama",5.9,Rakesh Kumar,Tinnu Anand,Amitabh Bachchan,Bhavana Balsawar
Kaun Kare Kurbanie,1991,154,"Action, Crime, Drama",3.2,Arjun Hingorani,Dharmendra,Govinda,Anita Raj
Kaun Kitney Paani Mein,2015,112,"Comedy, Drama, Family",6.1,Nila Madhab Panda,Kunal Kapoor,Radhika Apte,Saurabh Shukla
Kaun Rokega Mujhe,1997,123,"Action, Thriller",3.8,Kamal Raj Bhasin,Coca Cola,Sadashiv Amrapurkar,Asrani
Kaun Sachcha Kaun Jhootha,1997,130,"Drama, Mystery, Thriller",5.5,Partho Ghosh,Rishi Kapoor,Sridevi,Suresh Oberoi
Kaun?,1999,90,"Mystery, Thriller",7.8,Ram Gopal Varma,Urmila Matondkar,Manoj Bajpayee,Sushant Singh
Kaun? Kaisey?,1983,127,Crime,6.4,Neelu Arora,Beena Bannerjee,Bina,Ardhendu Bose
Kavi Kalidas,1959,139,"Drama, Musical",7.1,S.N. Tripathi,Bharat Bhushan,Nirupa Roy,Anita Guha
Kaya Palat,1983,121,"Comedy, Fantasy",6.7,Satyen Bose,Suresh Chatwal,Anoop Kumar,Ashok Kumar
Kayda Kanoon,1993,150,"Action, Crime, Drama",5,Pradeep Maini,Akshay Kumar,Sudesh Berry,Ashwini Bhave
Kedarnath,2018,116,"Drama, Romance",6.9,Abhishek Kapoor,Sushant Singh Rajput,Sara Ali Khan,Nitish Bharadwaj
Keemat,1973,132,Action,6.8,Ravikant Nagaich,Dharmendra,Rekha,Prem Chopra
Keemat: They Are Back,1998,162,"Action, Comedy, Drama",5.7,Sameer Malkan,Akshay Kumar,Raveena Tandon,Saif Ali Khan
Kehta Hai Yeh Dil,2020,116,"Comedy, Drama",3.3,R.k. Sharma,Ranbeeir Kalsi,Sharvani Sahay,Elena Tuteja
Kehtaa Hai Dil Baar Baar,2002,119,"Comedy, Drama, Romance",4.7,Rahul Dholakia,Paresh Rawal,Jimmy Sheirgill,Kim Sharma
Kerry on Kutton,2016,125,Drama,5.7,Ashok Yadav,Bhavana Singh Chauhan,Satyajeet Dubey,Aradhana Jagota
Kesari,2019,150,"Action, Drama, History",7.4,Anurag Singh,Akshay Kumar,Parineeti Chopra,Suvinder Vicky
Kevi Rite Jaish,2012,128,"Comedy, Family",8.1,Abhishek Jain,Tom Alter,Abhinay Banker,Raju Barot
Khaali Peeli,2020,119,"Action, Comedy, Romance",2.3,Maqbool Khan,Ishaan Khattar,Ananya Panday,Jaideep Ahlawat
Khaan Dost,1976,157,"Action, Crime, Drama",5.6,Dulal Guha,Raj Kapoor,Shatrughan Sinha,Mithu Mukherjee
Khabardar,1984,167,Family,5.9,Rama Rao Tatineni,Amitabh Bachchan,Kamal Haasan,Jaya Prada
Khajoor Pe Atke,2018,119,Comedy,5.6,Harsh Chhaya,Vinay Pathak,Suneeta Sengupta,Alka Amin
Khakee,2004,174,"Action, Crime, Drama",7.4,Rajkumar Santoshi,Amitabh Bachchan,Akshay Kumar,Ajay Devgn
Khal Nayak,1993,190,"Action, Adventure, Crime",7.2,Subhash Ghai,Sanjay Dutt,Madhuri Dixit,Jackie Shroff
Khalifa,1976,140,"Action, Crime, Drama",5.7,Prakash Mehra,Randhir Kapoor,Rekha,I.S. Johar
Khallas: The Beginning of End,2007,121,"Crime, Drama, Romance",4,Sumeet Chawla,Nikita Anand,Sanjeev Dabholkar,Raj Hussein
Khal-Naaikaa,1993,147,"Crime, Drama, Thriller",3.7,Saawan Kumar Tak,Jeetendra,Jaya Prada,Anu Agrawal
Khalnayak,2004,74,Action,6.3,Kishan Shah,Satnam Kaur,Kashish Khurana,Karishma
Khamiyaza: Journey of a Common Man,2019,130,"Action, Drama",4.6,Deekshit Kaul,Heramb Tripathi,Piyali Munshi,Alok Chaturvedi
Khamosh,1986,101,"Mystery, Thriller",7.5,Vidhu Vinod Chopra,Shabana Azmi,Amol Palekar,Naseeruddin Shah
Khamosh Adalat Jaari Hai,2017,100,Drama,7.7,Ritesh Menon,Nandita Das,Pravina Bhagwat Deshpande,Ajitesh Gupta
Khamoshh... Khauff Ki Raat,2005,123,"Mystery, Thriller",3.3,Deepak Tijori,Shilpa Shetty Kundra,Juhi Chawla,Shawar Ali
Khamoshi,1970,127,"Drama, Romance",7.7,Asit Sen,Rajesh Khanna,Waheeda Rehman,Nasir Hussain
Khamoshi,2019,96,"Horror, Thriller",3.5,Chakri Toleti,Prabhu Deva,Tamannaah Bhatia,Bhoomika Chawla
Khamoshi: The Musical,1996,160,"Drama, Musical, Romance",7.5,Sanjay Leela Bhansali,Manisha Koirala,Nana Patekar,Salman Khan
Khamoshiyan,2015,122,"Drama, Horror, Romance",4,Karan Darra,Gurmeet Choudhary,Ali Fazal,Sapna Pabbi
Khan kluay,2006,79,"Animation, Adventure, Family",5.9,Kompin Kemgumnird,Tod Polson,Akshay Kumar,Anyarit Pitakkul
Khandaan,1942,171,"Drama, Family",6.2,Shaukat Hussain Rizvi,Noor Jehan,Pran,Ghulam Mohammed
Khandaan,1979,130,"Drama, Romance",6.5,Anil Ganguly,Jeetendra,Sulakshana Pandit,Bindiya Goswami
Khandaani Shafakhana,2019,136,"Comedy, Drama",4,Shilpi Dasgupta,Sonakshi Sinha,Badshah,Varun Sharma
Khandan,1965,158,"Drama, Musical",6.9,A. Bhimsingh,Sunil Dutt,Nutan,Pran
Khandhar,1984,106,Drama,7.2,Mrinal Sen,Shabana Azmi,Annu Kapoor,Pankaj Kapur
Khanjar,1980,134,Thriller,5.8,Atma Ram,Navin Nischol,Reena Roy,Amjad Khan
Khanna & Iyer,2007,103,Comedy,5.1,Hemant Hegde,Sarvar Ahuja,Aditi Sharma,Arun Bakshi
Khap,2011,125,"Drama, Thriller",5,Ajai Sinha,Rahul Jaiswal,Raj Arjun,Mohnish Bahl
Khatarnaak,1990,223,"Action, Crime, Drama",5.2,Bharat Rangachary,Sanjay Dutt,Anita Raj,Farha Naaz
Khatron Ke Khiladi,1988,156,"Action, Drama",4.8,Rama Rao Tatineni,Dharmendra,Sanjay Dutt,Chunky Panday
Khatta Meetha,1978,128,"Comedy, Drama",7.5,Basu Chatterjee,Ashok Kumar,Rakesh Roshan,Bindiya Goswami
Khatta Meetha,2010,157,"Comedy, Crime, Drama",5.7,Priyadarshan,Akshay Kumar,Trisha Krishnan,Kulbhushan Kharbanda
Khauff,2000,124,"Action, Crime, Drama",4.4,Sanjay Gupta,Sanjay Dutt,Manisha Koirala,Sharad S. Kapoor
Khayal Gatha,1989,103,"Drama, Music",6.6,Kumar Shahani,Mangal Dhillon,Rajat Kapoor,Mita Vashisht
Khazanchi,1958,51,Romance,5.8,Prem Narayan Arora,Shyama,Balraj Sahni,Chitra
Khazanchi,1941,171,Mystery,7,Moti B. Gidwani,M. Ismail,Ramola,Manorama
Khejdi,2018,92,Drama,8.1,Rohit Dwivedi,Priyanka Agarwal,Sahil Bhati,Bertwin Ravi Dsouza
Khel,1992,152,"Comedy, Drama, Romance",6.4,Rakesh Roshan,Aparajita,Prem Chopra,Madhuri Dixit
Khel,2003,174,"Action, Crime, Drama",4,Yusuf Khan,Sunny Deol,Sunil Shetty,Ajay Jadeja
Khel Khel Mein,1975,139,"Comedy, Mystery, Romance",7.5,Ravi Tandon,Rishi Kapoor,Neetu Singh,Rakesh Roshan
Khel Khilari Ka,1977,90,"Action, Thriller",6.2,Arjun Hingorani,Dharmendra,Shabana Azmi,Dhruv
Khel Toh Ab Shuru Hoga,2016,130,"Action, Thriller",5.2,Kunal v Singh,Ruslaan Mumtaz,Devshi Khanduri,Rohit Pathak
Khela,2008,97,"Comedy, Drama",7.2,Rituparno Ghosh,Haradhan Bannerjee,Manish Bhattacharya,Satbol Bhattacharya
Khelein Hum Jee Jaan Sey,2010,168,"Action, Drama, History",5.8,Ashutosh Gowariker,Abhishek Bachchan,Deepika Padukone,Sikandar Kher
Khichdi: The Movie,2010,120,"Comedy, Family",7.2,Aatish Kapadia,Anang Desai,Supriya Pathak,Rajeev Mehta
Khiladi,1992,157,"Action, Mystery, Romance",7.2,Abbas Alibhai Burmawalla,Mastan Alibhai Burmawalla,Akshay Kumar,Ayesha Jhulka
Khiladi 420,2000,157,"Action, Romance, Thriller",5.2,Neeraj Vora,Akshay Kumar,Mahima Chaudhry,Antara Mali
Khiladi 786,2012,141,"Action, Comedy",4.3,Ashish R. Mohan,Akshay Kumar,Asin Thottumkal,Himesh Reshammiya
Khiladiyon Ka Khiladi,1996,162,"Action, Crime, Drama",6,Umesh Mehra,Akshay Kumar,Rekha,Raveena Tandon
Khilari,1968,138,"Action, Sci-Fi",6.8,Homi Wadia,Fearless Nadia,Dilip Raj,Uma
Khilona,1970,160,"Drama, Musical, Romance",7.2,Chander Vohra,Sanjeev Kumar,Mumtaz,Durga Khote
Khoj,1989,113,"Mystery, Thriller",7.1,Keshu Ramsay,Rishi Kapoor,Naseeruddin Shah,Kimi Katkar
Khoj,2017,116,"Crime, Mystery, Thriller",6.8,Arka Ganguly,Vikram Chatterjee,Shataf Figar,Poonam Gurung
Khokababu,2012,158,"Comedy, Romance",5.1,Shankaraiya,Ferdous Ahmed,Biswajit Chakraborty,Biplab Chatterjee
Khoobsurat,1999,153,"Action, Comedy, Romance",5.3,Sanjay Chhel,Sanjay Dutt,Urmila Matondkar,Om Puri
Khoobsurat,2014,130,"Comedy, Romance",6.4,Shashanka Ghosh,Sonam Kapoor,Fawad Khan,Ratna Pathak Shah
Khoon Aur Paani,1981,141,"Action, Drama",5.7,Chand,Feroz Khan,Jeetendra,Rekha
Khoon Bhari Maang,1988,172,"Drama, Thriller, Action",6.6,Rakesh Roshan,Rekha,Kabir Bedi,Sonu Walia
Khoon Ka Karz,1991,151,"Action, Crime, Drama",4.8,Mukul Anand,Vinod Khanna,Dimple Kapadia,Rajinikanth
Khoon Ka Rishta,1981,117,Action,4.1,Samir Ganguly,Jeetendra,Neetu Singh,Amjad Khan
Khoon Ki Keemat,1974,126,"Action, Thriller",6.1,Shibu Mitra,Mahendra Sandhu,Neelam Mehra,Roopesh Kumar
Khoon Ki Pyasi,1996,117,Horror,2.7,K.C. Handra,Rita Bhaduri,Ramesh Goyal,Javed Khan
Khoon Pasina,1977,210,"Action, Drama",6.2,Rakesh Kumar,Amitabh Bachchan,Vinod Khanna,Rekha
Khooni Ilaaka: The Prohibited Area,1999,87,Horror,5.6,Jitendra Chawda,Kishore Anand Bhanushali,Arif Khan,Anil Nagrath
Khooni Murdaa,1989,127,Horror,4.1,Mohan Bhakri,Deepak Parashar,Javed Khan,Sripradha
Khooni Panja,1991,130,Horror,5.5,Vinod Talwar,Anil Dhawan,Jagdeep,Javed Khan
Khopdi: The Skull,1999,97,Horror,2.8,Ramesh U. Lakhiani,Rajesh Bakshi,Shakti Kapoor,Sapna Sappu
Khosla Ka Ghosla!,2006,135,"Comedy, Crime, Drama",8.3,Dibakar Banerjee,Anupam Kher,Boman Irani,Parvin Dabas
Khota Paisa,1958,145,Drama,4.7,M. Sadiq,Johnny Walker,Shyama,Jeevan
Khote Sikkay,1974,132,"Action, Crime, Drama",6.2,Narendra Bedi,Feroz Khan,Rehana Sultan,Danny Denzongpa
Khoya,2015,82,Drama,7.5,Sami Khan,Rupak Ginn,Ravi Khanvilkar,Stephen McHattie
Khoya Khoya Chand,2007,131,"Drama, Romance",6.3,Sudhir Mishra,Shiney Ahuja,Soha Ali Khan,Rajat Kapoor
Khubsoorat,1980,126,"Comedy, Drama, Family",7.6,Hrishikesh Mukherjee,Ashok Kumar,Rekha,Rakesh Roshan
Khuda Gawah,1992,193,"Action, Adventure, Drama",6.5,Mukul Anand,Amitabh Bachchan,Sridevi,Nagarjuna Akkineni
Khuda Haafiz,2020,133,"Action, Adventure, Drama",7.4,Faruk Kabir,Vidyut Jammwal,Shivaleeka Oberoi,Annu Kapoor
Khuda Hafiz,1983,91,Drama,8.1,Kidar Nath Sharma,Ratna Bhooshan,Shibana Dutta,Urmila Matondkar
Khuda Kasam,2010,160,"Action, Crime, Drama",3.2,K.C. Bokadia,Sunny Deol,Tabu,Beena Banerjee
Khud-Daar,1982,169,"Action, Drama",6.9,Ravi Tandon,Sanjeev Kumar,Amitabh Bachchan,Vinod Mehra
Khuddar,1994,167,"Action, Drama, Thriller",5.1,Iqbal Durrani,Govinda,Karisma Kapoor,Shakti Kapoor
Khudgarz,1987,158,Drama,5.8,Rakesh Roshan,Jeetendra,Shatrughan Sinha,Bhanupriya
Khufia Mahal,1964,140,"Adventure, Comedy, Drama",5.8,Aakkoo,Paidi Jairaj,Chitra,Mohan Sherry
Khule-Aam,1992,155,Action,5.8,Arun Dutt,Dharmendra,Shammi Kapoor,Neelam Kothari
Khullam Khulla Pyaar Karen,2005,155,Comedy,4.1,Harmesh Malhotra,Govinda,Preity Zinta,Prem Chopra
Khushboo,1975,132,"Drama, Romance",7.1,Gulzar,Jeetendra,Hema Malini,Durga Khote
Khushi,2003,161,"Action, Comedy, Drama",4.4,S.J. Suryah,Sunil Kumar Agrawal,Fardeen Khan,Kareena Kapoor
Khwaab,1997,120,Drama,4.6,Azhar Hussain,Manisha Koirala,Gulshan Grover,Anupam Kher
Khwaabb,2014,90,"Drama, Romance, Sport",5.5,Zaid Ali Khan,Simer Motiani,Navdip Singh,Bajrangbali Singh
Khwab,1980,115,"Crime, Drama, Romance",5.9,Shakti Samanta,Yogeeta Bali,Birbal,Mithun Chakraborty
Khwab Sare Jhootey,2020,100,Drama,7.8,Deepak Baldev,Ajay Gautam,Harsh Kumar,Madhu Narayan
Khwahish,2003,152,"Drama, Romance, Musical",4.1,Govind Menon,Himanshu Malik,Mallika Sherawat,Shivaji Satam
Ki & Ka,2016,126,"Comedy, Romance",5.8,R. Balki,Amitabh Bachchan,Arjun Kapoor,Kareena Kapoor
Kick,2014,146,"Action, Comedy, Crime",5.3,Sajid Nadiadwala,Salman Khan,Jacqueline Fernandez,Nawazuddin Siddiqui
Kidnap,2008,135,"Action, Crime, Drama",4.6,Sanjay Gadhvi,Sanjay Dutt,Imran Khan,Minissha Lamba
Kill Dil,2014,127,"Action, Comedy, Drama",4.3,Shaad Ali,Ranveer Singh,Ali Zafar,Parineeti Chopra
Killer,1992,160,"Action, Crime, Drama",6.3,Fazil,Nagarjuna Akkineni,Nagma,Sharada
Kinara,1977,139,"Drama, Romance",6.7,Gulzar,Jeetendra,Hema Malini,Dharmendra
Kinare Kinare,1963,111,"Drama, Romance",7.1,Chetan Anand,Dev Anand,Meena Kumari,Chetan Anand
King Kong,1962,142,"Action, Adventure, Comedy",6.3,Babubhai Mistry,Kumkum,Dara Singh,Chandrashekhar
King Uncle,1993,171,"Comedy, Drama, Family",5.1,Rakesh Roshan,Jackie Shroff,Shah Rukh Khan,Nagma
Kirayadar,1986,146,"Comedy, Drama",6.3,Basu Chatterjee,Raj Babbar,Padmini Kolhapure,Utpal Dutt
Kirket,2019,132,"Drama, Sport",7.5,Yogendra Singh,Kirti Azad,Sonam Chhabra,Sonu Jha
Kis Kis Ki Kismat,2004,142,"Comedy, Drama, Romance",2.5,Govind Menon,Mallika Sherawat,Rati Agnihotri,Kurush Deboo
Kis Kisko Pyaar Karoon,2015,133,"Comedy, Romance",5.7,Abbas Alibhai Burmawalla,Mastan Alibhai Burmawalla,Kapil Sharma,Simran Kaur Mundi
Kis Kiss Ka Kissa,2017,84,Drama,5.6,Sameer Patil,Manav Gohil,Asawari Joshi,Sandeep Kulkarni
Kisaan,2009,100,"Action, Crime, Drama",5.3,Puneet Sira,Jackie Shroff,Sohail Khan,Arbaaz Khan
Kisan Aur Bhagwan,1974,142,"Action, Comedy, Drama",6.1,Chandrakant,Dara Singh,Feroz Khan,Yogeeta Bali
Kisan Kanya,1937,137,Drama,6.3,Moti B. Gidwani,Padmadevi,Jillo,Ghulam Mohammed
Kishen Kanhaiya,1990,160,"Action, Comedy, Drama",5.9,Rakesh Roshan,Vikas Anand,Bindu,Madhuri Dixit
Kismat,1995,149,"Musical, Family, Drama",5.1,Harmesh Malhotra,Rakhee Gulzar,Govinda,Mamta Kulkarni
Kismat,2004,143,"Action, Drama",3.7,Guddu Dhanoa,Bobby Deol,Priyanka Chopra Jonas,Kabir Bedi
Kismat Konnection,2008,153,"Comedy, Drama, Romance",5.2,Aziz Mirza,Shahid Kapoor,Vidya Balan,Vishal Malhotra
Kismet,1943,143,Drama,7.4,Gyan Mukherjee,Ashok Kumar,Mumtaz Shanti,Shah Nawaz
Kismet Ka Khel,1956,137,"Action, Crime, Drama",6.1,Kishore Sahu,Sunil Dutt,Vyjayanthimala,Begum Para
Kismet Love Paisa Dilli,2012,129,"Adventure, Comedy, Crime",4.2,Sanjay M. Khanduri,Vivek Oberoi,Mallika Sherawat,Neha Dhupia
Kismetwala,1986,90,"Action, Drama",4.2,S.D. Narang,Mithun Chakraborty,Prem Chopra,Mohan Choti
Kisna: The Warrior Poet,2005,171,"Drama, Musical, Romance",4.5,Subhash Ghai,Vivek Oberoi,Isha Sharvani,Antonia Bernath
Kiss Kis Ko,2004,119,Musical,4.6,Sharad Sharan,Chaitanya Bhosle,Sherrin Varghese,Bhumika Puri
Kissaa Kursee Kaa,1978,142,Drama,7.1,Amrit Nahata,Shabana Azmi,Raj Babbar,Chaman Bagga
Kisse Pyaar Karoon?,2009,123,"Action, Comedy, Crime",3.3,Ajay Chandhok,Arshad Warsi,Aashish Chaudhary,Yash Tonk
Kissebaaz,2019,122,"Action, Comedy, Crime",4.6,Annant Jaaitpaal,Pankaj Tripathi,Rahul Bagga,Anupriya Goenka
Kissi Se Na Kehna,1983,140,"Comedy, Romance",7.4,Hrishikesh Mukherjee,Farooq Shaikh,Deepti Naval,Utpal Dutt
Kitaab,1977,124,Drama,7.4,Gulzar,Uttam Kumar,Vidya Sinha,Shreeram Lagoo
Kites,2010,123,"Action, Drama, Romance",6.1,Anurag Basu,Hrithik Roshan,Kabir Bedi,B�rbara Mori
Kitne Door... Kitne Paas,2002,146,"Comedy, Romance",4.5,Mehul Kumar,Fardeen Khan,Amrita Arora,Satish Shah
Knock Out,2010,117,"Action, Crime, Drama",6,Mani Shankar,Sanjay Dutt,Irrfan Khan,Kangana Ranaut
Kohinoor,1960,151,"Action, Adventure, Comedy",6.8,S.U. Sunny,Dilip Kumar,Meena Kumari,Azim
Kohra,1993,173,"Mystery, Thriller",4.5,Partho Ghosh,Arman Kohli,Ayesha Jhulka,Pran
Kohraa,1964,153,"Drama, Musical, Mystery",6.7,Biren Nag,Biswajit Chatterjee,Waheeda Rehman,Lalita Pawar
Kohraam,1991,135,Action,5.5,Kuku Kohli,Sadashiv Amrapurkar,Mahesh Anand,Brahmachari
Kohram,1999,150,"Action, Comedy, Drama",5.4,Mehul Kumar,Amitabh Bachchan,Nana Patekar,Tabu
Koi Aap Sa: But Lovers Have to Be Friends,2005,142,"Comedy, Drama, Romance",5.2,Partho Mitra,Aftab Shivdasani,Anita Hassanandani Reddy,Dipannita Sharma
Koi Hai,2003,102,"Drama, Horror",2.4,Rajiv S. Ruia,Aman Verma,Shweta Menon,Rinku Ghosh
Koi Jaane Na,2021,141,Thriller,3.5,Amin Hajee,Kunal Kapoor,Amyra Dastur,Elli Avrram
Koi Jeeta Koi Haara,1976,124,"Drama, Romance",7.9,Samir Ganguly,Shashi Kapoor,Saira Banu,Farida Jalal
Koi Mere Dil Mein Hai,2005,128,"Drama, Romance",4.7,Deepak Ramsay,Dia Mirza,Sadashiv Amrapurkar,Raqesh Bapat
Koi Mere Dil Se Poochhe,2002,165,"Musical, Romance, Thriller",3.5,Vinay Shukla,Jaya Bachchan,Aftab Shivdasani,Sanjay Kapoor
Koi... Mil Gaya,2003,171,"Action, Drama, Romance",7.1,Rakesh Roshan,Hrithik Roshan,Rekha,Preity Zinta
Kondaveeti Raja,1986,140,"Action, Drama",6.3,K. Raghavendra Rao,Chiranjeevi,Mohan Babu,Satyanarayana Kaikala
Kondura (The Sage from the Sea),1978,137,Drama,7.4,Shyam Benegal,Anant Nag,Nirmala,Siddesh
Kora Kagaz,1974,125,"Drama, Musical, Family",7.4,Anil Ganguly,Vijay Anand,Jaya Bachchan,Achala Sachdev
Kosa,2020,85,Drama,7.3,Mohit Priyadarshi,Kunal Bhange,Sunil Chipde,Robin Das
Koshish,1972,125,Drama,8.6,Gulzar,Sanjeev Kumar,Jaya Bachchan,Asrani
Kottai Mariamman,2001,140,Drama,3.8,Ramanarayanan,Devayani,Diamber,Karan
Kottayam,2020,100,"Crime, Drama, Romance",6.9,Binu Bhaskar,Sreenath Janardhanan,Chinnu Kuruvila,Ravi Mathew
Koyelaanchal,2014,145,"Action, Drama",5.4,Ashu Trikha,Kannan Arunachalam,Biswanath Basu,Vinod Khanna
Koyla,1997,166,"Action, Drama, Musical",6.2,Rakesh Roshan,Shah Rukh Khan,Madhuri Dixit,Amrish Puri
Kranti,1981,187,"Action, Adventure, Drama",7.2,Manoj Kumar,Dilip Kumar,Manoj Kumar,Shashi Kapoor
Kranti,2002,142,"Action, Drama",3.8,Naresh Malhotra,Vinod Khanna,Bobby Deol,Ameesha Patel
Krantikari,1997,140,"Action, Crime, Drama",6.3,Raghuram,Mithun Chakraborty,Rituparna Sengupta,Rajinikanth
Krantiveer,1994,159,"Action, Crime, Drama",7.4,Mehul Kumar,Nana Patekar,Dimple Kapadia,Atul Agnihotri
Krantiveer: The Revolution,2010,159,"Action, Crime, Drama",4.6,Mehul Kumar,Jahan Bloch,Samir Aftab,Aditya Rajput
Krazzy 4,2008,110,"Comedy, Crime, Drama",4.2,Jaideep Sen,Juhi Chawla,Irrfan Khan,Arshad Warsi
Krina,2018,130,Thriller,5.8,Shyamal K. Mishra,Parth Singh Chauhan,Tunisha Sharma,Inder Kumar
Krish Trish and Baltiboy: Face Your Fears,2017,65,Animation,7.8,Tilak Shetty,Deepak Chachra,Smita Malhotra,Tarun Ratnani
Krishan Avtaar,1993,180,Action,5.7,Ashok Gaekwad,Mithun Chakraborty,Somy Ali,Hashmat Khan
Krishna,1996,156,"Action, Drama, Romance",4.7,S. Deepak,Deepak S. Shivdasani,Sunil Shetty,Karisma Kapoor
Krishna Arjun,1997,130,Drama,6.6,Shailendra Shukla,Jeetendra,Vivek Mushran,Upasna Singh
Krishna Aur Kans,2012,117,"Animation, Action, Adventure",6.5,Vikram Veturi,Manoj Bajpayee,Harish Bhimani,Neetu Chaudhary
Krishna Cottage,2004,124,"Horror, Mystery",5.2,Santram Varma,Sohail Khan,Isha Koppikar,Anita Hassanandani Reddy
Kriya,2020,96,"Drama, Fantasy, Horror",6.5,Sidharth Srinivasan,Avantika Akerkar,M.D. Asif,Kishan Bahurupiya
Kroadh,1990,144,"Action, Crime, Drama",5.1,Shashilal K. Nair,Sanjay Dutt,Sunny Deol,Amrita Singh
Krodh,2000,141,"Action, Comedy, Drama",4.4,Ashok Honda,Sunil Shetty,Johnny Lever,Rambha
Krodhi,1981,159,"Action, Crime, Thriller",6.5,Subhash Ghai,Dharmendra,Shashi Kapoor,Zeenat Aman
Krrish,2006,154,"Action, Adventure, Sci-Fi",6.4,Rakesh Roshan,Hrithik Roshan,Priyanka Chopra Jonas,Rekha
Krrish 3,2013,152,"Action, Adventure, Sci-Fi",5.2,Rakesh Roshan,Hrithik Roshan,Vivek Oberoi,Priyanka Chopra Jonas
Kshatriya,1993,187,"Action, Drama, War",5.9,J.P. Dutta,Sunil Dutt,Dharmendra,Vinod Khanna
Kshay,2011,92,Drama,6.7,Karan Gour,Rasika Dugal,Alekh Sangal,Sudhir Pednekar
Kucch Luv Jaisaa,2011,105,Drama,4.3,Shukla Barnali Ray,Shefali Shah,Om Puri,Rahul Bose
Kucch To Hai,2003,143,"Horror, Mystery",4.2,Anurag Basu,Anil v Kumar,Tusshar Kapoor,Esha Deol
Kuch Der Aur,2018,65,Drama,8.5,Anurag Kawatra,Meenu Kawatra,Saajan Kataria,Rajesh Navgain
Kuch Khatta Kuch Meetha,2007,140,Comedy,3.8,Basu Chatterjee,Sarvar Ahuja,Satish Kaushik,Anupam Kher
Kuch Khatti Kuch Meethi,2001,120,"Comedy, Drama, Romance",4.6,Rahul Rawail,Kajol,Rati Agnihotri,Rishi Kapoor
Kuch Kuch Hota Hai,1998,177,"Comedy, Drama, Musical",7.6,Karan Johar,Shah Rukh Khan,Kajol,Rani Mukerji
Kuch Kuch Locha Hai,2015,143,"Comedy, Drama",2.5,Devang Dholakia,Ram Kapoor,Sunny Leone,Evelyn Sharma
Kuch Naa Kaho,2003,169,"Comedy, Drama, Romance",5.4,Rohan Sippy,Aishwarya Rai Bachchan,Abhishek Bachchan,Satish Shah
Kuch Pal Pyar Ke,2018,104,Drama,4.3,Viral H. Patel,Aamir,Tejas Gadhvi,Aamir Ghani
Kuch Tum Kaho Kuch Hum Kahein,2002,171,"Action, Drama, Romance",5.6,K. Ravi Shankar,Vikram Gokhale,Dinesh Hingoo,Adi Irani
Kuchh Bheege Alfaaz,2018,116,Romance,7.5,Onir,Geetanjali Thapa,Zain Khan Durrani,Shray Rai Tiwari
Kuchh Meetha Ho Jaye,2005,125,"Comedy, Romance",3.4,Samar Khan,Arshad Warsi,Mahima Chaudhry,Parvin Dabas
Kudiyon Ka Hai Zamaana,2006,112,Comedy,3.7,Amar Butala,Rekha,Mahima Chaudhry,Vasundhara Das
Kudrat,1981,164,"Drama, Mystery, Romance",6.9,Chetan Anand,Rajesh Khanna,Raaj Kumar,Hema Malini
